"Testo Italiano";"Polaritá positiva su testo italiano";"Polaritá negativa su testo italiano";"Testo Inglese";"Polaritá su testo inglese";"Rabbia Calcolata";"Anticipazione calcolata";"Disgusto calcolata";"Paura calcolata";"Gioia calcolata";"Tristezza calcolata";"Sorpresa calcolata";"Fiducia calcolata"
"Un museo interessante, che vale la pena visitare il primo giorno di esplorazione della Città Eterna. Il museo è costituito da diverse installazioni interattive che raccontano come apparivano le principali attrazioni di Roma, ora in rovina: i fori, il Colosseo e altri. Lì puoi anche guardare un cortometraggio sulla storia della città. Tutto è anche in altre lingue. Una visita al museo durerà non più di un'ora e non è stancante. Dopo aver visitato il museo, sarà molto più interessante ispezionare le rovine stesse. I biglietti possono essere acquistati attraverso il sito Web o sul posto.";"32.73";"23.95";"An interesting museum, which is worth visiting the first day of exploration of the Eternal City. The museum consists of several interactive installations that tell as they appeared the main attractions of Rome, now in ruins: the holes, the Colosseum and others. There you can also watch a short film on the history of the city. Everything is in other languages. A visit to the museum will not last more than an hour and is not tiring. After visiting the museum, it will be much more interesting to inspect the ruins themselves. Tickets can be purchased through the Web site or on-site.";2;"34.60";"1.47";"2.70";"10.29";"42.60";"4.12";"3.15";"1.09"
"Personale molto illustrativo e molto amichevole. La visione dello sviluppo della città è molto didattica e impressionante";"4.84";"0.09";"very illustrative and very friendly staff. The vision of the development of the city is very didactic and awesome";2;"0.09";"2.98";"0.04";"0.51";"94.81";"0.20";"1.16";"0.21"
"Fantastica panoramica informativa e coinvolgente di Roma, ci siamo divertiti immensamente, consigliamo vivamente questa esperienza";"99.57";"0.58";"Fantastic panoramic informative and engaging in Rome, we thoroughly enjoyed ourselves, we highly recommend this experience";4;"0.08";"1.70";"0.07";"0.44";"95.19";"0.29";"1.21";"1.02"
"Ci è stata raccomandata questa visita come una buona introduzione alla città prima di visitare siti specifici. Ne è valsa la pena e una favolosa introduzione alla città e alla sua storia. C'è un film generale e visualizzazioni 3D specifiche di monumenti chiave. Certo, la cronologia non è sempre facile da seguire o i nomi dei siti facili da ricordare, ma ne vale la pena lo stesso. Un must per chiunque visiti da fuori città.";"1.85";"7.09";"We were recommended this visit as a good introduction to the city before visiting specific sites. It was worth it and a fabulous introduction to the city and its history. There is a general film and 3D specific key monuments. Of course, history is not always easy to follow, or the names of the sites are easy to remember, but it's worth the same. A must for anyone visiting from out of town.";3;"2.82";"12.17";"1.50";"6.69";"61.48";"3.83";"10.23";"1.27"
"Siamo andati all'esperienza Welcome to Rome sulla base delle numerose recensioni positive. Come menzionato da altri, è un'ottima prima tappa a Roma. Questa è stata anche una buona attività per gli adolescenti. La storia di Roma è stata condivisa in un modo coinvolgente che ha dato un sacco di contesto per le successive visite ai monumenti.";"0.04";"0.01";"We went to the experience Welcome to Rome based on the numerous positive reviews. As mentioned by others, it is an excellent first stop in Rome. This was also a good activity for teenagers. The history of Rome was shared in an engaging way that gave a lot of context for subsequent visits to the monuments.";3;"0.70";"0.14";"0.61";"0.69";"92.37";"2.97";"1.94";"0.59"
"è stato eccellente, un ottimo modo per imparare la storia prima di scoprire la città! Molto informativo, grazie";"99.26";"0.67";"It was excellent, a great way to learn history before discovering the city! Very informative, thanks";4;"0.17";"0.17";"0.03";"0.10";"99.03";"0.08";"0.33";"0.10"
"Rappresentazione meravigliosa e vivida della storia di Roma e dei suoi monumenti! Ottima organizzazione! Suggerirei a tutti di visitarlo insieme alle visite dei monumenti! Spero che includano anche audioguide in altre lingue!";"90.09";"1.12";"wonderful and vivid representation of the history of Rome and its monuments! Excellent organization! I would recommend everyone to visit along with the visits of the monuments! I hope that also include audio guides in other languages!";3;"0.29";"3.33";"0.15";"0.86";"88.51";"0.35";"6.34";"0.18"
"Questa è stata una grande opportunità per avere una panoramica della Roma storica e metterla in prospettiva con l'attuale Roma. Farlo all'inizio del viaggio è stato utile. Molte informazioni in modo divertente. Decisamente migliorato la nostra comprensione.";"70.59";"0.87";"This was a great opportunity to get an overview of the historical Rome and put in perspective with the current Roma. Do it at the beginning of the trip was worthwhile. Many amusing information. Definitely improved our understanding.";3;"0.02";"0.34";"0.00";"0.05";"99.22";"0.02";"0.34";"0.01"
"Siamo andati a questo dopo una giornata trascorsa a visitare il Colosseo e il Foro Romano. I creatori del film e le quattro singole aree espositive hanno ricreato l'aspetto di una Roma storica in base ai monumenti trovati a Roma. È stato fantastico !!!";"0.13";"0.02";"We went to this after a day spent visiting the Colosseum and the Roman Forum. The creators of the film and the four individual display areas have recreated the look of a historic Rome according to the monuments found in Rome. It was great !!!";2;"0.47";"1.21";"0.56";"1.10";"89.50";"2.04";"3.59";"1.54"
"Questa è la prima fermata di Roma...... fallo e basta! Questa è una riproduzione di plastica animata che mostra a poco a poco come Roma è stata costruita, distrutta e ricostruita! Ottieni un set di cuffie seleziona la tua lingua. Ci sono 5 sezioni le prime 4 sono più piccole e hanno Edifici animati in cui ti trovi di fronte e costruiscono l'edificio in 3D in plastica. Incredibile vedere come è stato fatto! Poi entri nel grande cinema per vedere la storia della formazione di Roma Come la conosciamo oggi Dai 7 Colli di Roma fino ad oggi Quindi l'incendio di Roma, quindi l'area rinascimentale e l'area moderna fino ad ora. Vedendo questo prima di avventurarsi sugli autobus hop on hop off - [] Avrai una vasta comprensione di ciò che il tuo sguardo vede - [] Come è stato costruito il modo in cui hanno sollevato i grandi raggi per posizionare i viadotti d'acqua, ecc";"0.28";"0.17";"This is the first stop in Rome ...... just do it! This is an animated plastic reproduction showing gradually as Rome was built, destroyed and rebuilt! Get a set of headphones select your language. There are 5 of the first four sections are smaller and have animated buildings where you stand in front and build the 3D building plastic. Amazing to see how it was done! Then enter the big screen to see the history of the formation of Rome as we know it today From 7 Hills of Rome to this day So the burning of Rome, so the renaissance area and the modern area until now. Seeing this before venturing on the hop on hop off - [] You will have a broad understanding of what your eye sees - [] How was built the way they have raised large radii to place water viaducts, etc.";2;"45.80";"0.96";"8.58";"6.56";"16.68";"16.48";"3.82";"1.11"
"Consiglio vivamente questo posto in quanto mostra le parti principali di Roma. Sono venuto qui per la prima volta, sono arrivato a Roma e mi è stata spiegata la cronologia di Roma con un'esperienza 3D e un'audioguida davvero affascinanti. Questo è un posto fantastico e lo consiglierei sicuramente ai principianti a Roma";"49.17";"2.15";"I highly recommend this place as it shows the main parts of Rome. I came here for the first time, I came to Rome and I was explained the history of Rome with a 3D experience and an audio guide really fascinating. This is a great place and would definitely recommend to beginners in Rome";4;"0.08";"0.29";"0.13";"0.53";"90.21";"0.56";"0.76";"7.43"
"Siamo venuti qui il primo giorno di una breve pausa. Assolutamente fantastico. I display sono molto ben progettati e ti danno davvero un'idea del luogo e di come si è sviluppato.";"24.38";"4.71";"We came here on the first day of a short break. Absolutely fantastic. The displays are very well designed and will really give you an idea of ??the place and how it developed.";3;"8.62";"3.13";"4.61";"18.18";"25.24";"10.13";"29.49";"0.61"
"Abbiamo preso consiglio dalle recensioni precedenti e lo abbiamo fatto il nostro primo giorno a Roma, davvero contenti. Illustrazioni olografiche tridimensionali di Roma eseguite molto bene, riprese in un video recap nel cinema. Ti dà il contesto storico per apprezzare meglio ciò che vedi sul posto. Facile da raggiungere da Castel Sant'Angelo prima o dopo la visita per una passeggiata.";"53.86";"1.06";"We took advice from previous reviews and we did our first day in Rome, really happy. Illustrations of Rome performed very well dimensional holographic, shooting a recap video in cinema. It gives historical context to better appreciate what you see on the spot. Easy to reach from Castel Sant'Angelo before or after the visit for a walk.";2;"11.10";"2.01";"2.66";"3.71";"69.74";"4.57";"4.89";"1.32"
"Una grande presentazione multimediale che offre una grande panoramica di Roma attraverso i secoli. Siamo arrivati subito dopo l'apertura, quindi era abbastanza tranquillo. Il personale è stato utile e ti ha guidato attraverso le sale di presentazione. Consiglio vivamente. E fallo all'inizio della tua visita a Roma in quanto offre un ottimo background su tutti i principali siti storici.";"75.23";"4.02";"A great multimedia presentation that provides a great overview of Rome through the ages. We arrived just after opening, so it was pretty quiet. The staff was helpful and guided you through the presentation rooms. I highly recommend. And do it early in your visit to Rome as it offers an excellent background of all major historical sites.";3;"0.96";"0.77";"0.55";"1.96";"59.95";"1.18";"34.55";"0.09"
"Mi è piaciuto molto questo tour. È stato molto istruttivo e ha dato vita ai famosi monumenti di Roma. Ci vogliono circa 40 minuti per completare il tour. Adatto a tutte le età. Buona idea per andare prima di vedere i luoghi e fare altri tour.";"19.16";"1.27";"I really enjoyed this tour. It was very informative and gave birth to the famous monuments of Rome. It takes about 40 minutes to complete the tour. Suitable for all ages. Good idea to go before we see places and do other tours.";3;"0.82";"5.12";"0.24";"1.60";"87.95";"0.72";"2.65";"0.90"
"Sono così felice che l'abbiamo fatto. È stata una buona panoramica prima di partire per vedere le attrazioni. Il video è stato eccellente. Lo consiglio vivamente .... ne vale la pena.";"99.00";"4.24";"I'm so glad we did. It was a good overview before setting off to see the sights. The video was excellent. I highly recommend it .... it's worth it.";3;"0.32";"0.79";"0.17";"0.42";"95.52";"0.42";"1.83";"0.52"
"Abbiamo scoperto Welcome to Rome Experience tramite Tripadvisor e siamo contenti di esserci andati. Il modo in cui viene presentata la loro storia è davvero avvincente. Lo consiglio vivamente.";"71.56";"12.00";"We discovered Welcome to Rome Experience through TripAdvisor and we are glad we went. The way it is presented their story is really compelling. I highly recommend it.";3;"56.85";"0.83";"9.07";"7.28";"9.00";"13.14";"3.17";"0.66"
"Un viaggio multimediale attraverso 2700 anni di storia romana. Dall'inizio alla fine questa esperienza dura circa un'ora e vale 12,50 Euro a persona. A pochi passi da Piazza Navona. Fallo!";"3.08";"0.97";"A multimedia journey through 2700 years of Roman history. From start to finish this experience lasts about an hour and is worth Euro 12.50 per person. A few steps from Piazza Navona. Just do it!";3;"0.97";"1.11";"0.14";"0.68";"93.65";"0.32";"3.03";"0.10"
"Incredibile esperienza per la tua prima visita a Roma, anche se sei stato più di una volta sono sicuro che imparerai così tanto! Non sono mai stato a qualcosa di simile prima e non sono sicuro che qualcosa di simile esista effettivamente è così buono. Il personale è stato cordiale e disponibile e il modo in cui ti raccontano la storia di Roma è davvero molto intelligente 10/10.";"98.39";"2.14";"Incredible experience for your first visit to Rome, even if you have been more than once I'm sure you'll learn so much! I've never been to anything like this before and I'm not sure that something like that actually exists is so good. The staff was friendly and helpful and the way you tell the story of Rome is really very clever 10/10.";2;"7.23";"0.34";"4.99";"10.86";"8.59";"9.53";"58.40";"0.06"
"Cosa interessante da fare prima di esplorare la città. È rapido e informativo. Inoltre, un rapido riposo da tutte le camminate durante l'apprendimento.";"13.03";"0.31";"Interesting thing to do before exploring the city. It's quick and informative. Also, a quick rest from all walks during learning.";3;"5.91";"0.69";"5.83";"8.84";"11.81";"17.57";"49.07";"0.28"
"Un eccellente museo moderno, chiare presentazioni separate su come furono costruite Roma e le sue famose attrazioni. Ottimo rapporto qualità-prezzo e vale la pena visitarlo all'inizio del viaggio per orientarti.";"1.00";"0.09";"An excellent modern museum, clearly separate presentations on how they were built Rome and its famous attractions. Great value for money and worth a visit at the beginning of the journey to find your way.";3;"0.77";"1.65";"0.43";"1.38";"88.63";"1.36";"5.40";"0.38"
"Grazie per la grande esperienza, è molto utile e bello iniziare il viaggio da questa visita prima di girare Roma. Desiderei avere la stessa tecnologia in ogni grande città del mondo ??";"93.32";"1.24";"Thanks for the great experience, is very helpful and nice to start the journey from this visit before turning Rome. Desiderei have the same technology in every major city in the world ??";3;"0.32";"0.24";"0.08";"0.24";"95.49";"0.15";"3.46";"0.03"
"Questa è l'introduzione ideale, fatta al meglio nel tuo primo giorno a Roma. Offre una panoramica eccezionale. Rapporto qualità / prezzo molto interessante e buono.";"99.23";"0.43";"This is the perfect introduction, made the most of in your first day in Rome. It offers an exceptional panoramic. Value / price very attractive and good.";3;"0.09";"0.50";"0.05";"0.21";"96.39";"0.17";"2.47";"0.11"
